name,in_scope,subsector,confidence,rationale
Payrails,NO,Payments,High,"Payments orchestration and processing infrastructure; not financial crime"
Farsight,NO,Trading/Capital Markets,High,"AI workflow automation for investment banking; not financial crime"
Abacum,NO,Other,High,"FP&A and financial planning software for finance teams; not financial crime"
Aiera,NO,Market Data,High,"AI financial research and market intelligence; not financial crime"
Zorro,NO,InsurTech,Medium,"Health benefits/ICHRA insurance platform; not financial crime"
Privy,NO,Other,Medium,"Crypto wallet infrastructure via API; not primarily IDV or AML"
Wealthbox,NO,WealthTech,High,"CRM software for financial advisors; not financial crime"
Noah,NO,Payments,Medium,"Cross-border stablecoin payments infrastructure; not financial crime"
Turnkey,NO,Other,High,"Non-custodial crypto wallet infrastructure; not financial crime"
AIB Merchant Services,NO,Payments,High,"Merchant card payment acquiring/processing; not financial crime"
PayGreen,NO,Payments,High,"Payment solutions provider; not financial crime"
Baobab,NO,InsurTech,High,"Cyber insurance insurtech for SMEs; not financial crime"
Crabi,NO,InsurTech,High,"Mexican auto insurtech; not financial crime"
Kiwi,NO,Payments,High,"Credit cards on UPI / payments in India; not financial crime"
Aibidia,NO,Accounting/Tax,High,"AI transfer pricing and tax compliance software; not financial crime"
Simetrick,NO,Other,High,"AI financial reconciliation automation; not financial crime"
Compyl,MAYBE,GRC/Risk,Medium,"Integrated GRC platform for SOC2/ISO/HIPAA security compliance; not financial-crime specific"
Bolttech,NO,InsurTech,High,"Embedded insurance exchange/insurtech; not financial crime"
E78 (fund solutions division),NO,Fund Admin,High,"Fund administration and finance services; not financial crime"
Scalable Capital,NO,WealthTech,High,"Digital brokerage and wealth management; not financial crime"
