rank,company,score,core,domains,type,fin,in_top,domain_list,description
1,Exiger,97,40,30,17,10,Y,aml; kyc; fraud; sanctions; third_party_risk; supply_chain_risk; compliance; risk,"AI-driven financial-crime, third-party and supply-chain risk. AML, KYC/KYB, sanctions, fraud and supplier risk screening and monitoring (DDIQ, Insight 3PM)."
2,Sayari,97,40,30,17,10,Y,kyc; aml; sanctions; supply_chain_risk; third_party_risk; fraud,"Counterparty and supply-chain risk intelligence: corporate ownership, KYB/KYC, beneficial ownership, sanctions and AML/financial-crime screening."
3,Archer,96,40,30,20,6,Y,risk; compliance; governance; audit; third_party_risk; regulatory; policy,"Archer IRM (formerly RSA Archer): one of the leading integrated risk management / GRC platforms — enterprise & operational risk, compliance, audit, policy, third-party, regulatory."
4,Ncontracts,96,40,30,20,6,Y,compliance; risk; third_party_risk; governance; audit; regulatory,"GRC, vendor risk and compliance management built for banks, credit unions and financial institutions: risk, vendor management, compliance (BSA/regulatory), audit findings."
5,Ideagen,90,40,30,20,0,Y,compliance; quality; audit; risk; governance; ehs; regulatory,"Governance, risk and compliance plus quality, audit, EHS and regulatory software for highly regulated industries (aviation, life sciences, finance)."
6,Riskonnect,90,40,30,20,0,Y,risk; compliance; governance; third_party_risk; resilience; audit; policy,"Integrated risk management (IRM) platform: ERM, GRC, operational resilience/BCM, third-party risk, claims and policy. Pure-play risk software."
7,ProcessUnity,89,40,23,20,6,Y,third_party_risk; risk; compliance; governance; policy,"Third-party / vendor risk management and GRC platform: vendor risk, cybersecurity program management, policy and compliance."
8,Auditboard,88,40,28,20,0,Y,audit; risk; compliance; governance; third_party_risk; ehs,"Connected-risk platform: internal audit, SOX, enterprise risk, compliance, IT/cyber GRC, ESG and third-party risk. Leading IRM/GRC suite."
9,Carne Group,86,40,26,14,6,Y,governance; compliance; regulatory; risk; aml,"Independent ManCo/AIFM and fund governance provider: regulatory compliance, risk management, oversight, governance and director services for asset managers."
10,Venminder,86,40,20,20,6,Y,third_party_risk; compliance; risk; governance,"Third-party / vendor risk management for financial institutions: vendor due diligence, oversight, contract and compliance risk assessments."
11,Fusion Risk Management,85,40,19,20,6,Y,resilience; risk; third_party_risk; compliance,"Operational resilience, business continuity, IT disaster recovery and third-party risk management platform. Resilience-led GRC."
12,Adenza,81,40,15,20,6,Y,regulatory; risk; compliance,"Adenza (AxiomSL + Calypso, now Nasdaq): regulatory reporting, risk management and capital/liquidity compliance plus trading/treasury for financial institutions."
13,Cube,81,40,15,20,6,Y,regulatory; compliance; risk,CUBE: RegTech for automated regulatory intelligence and regulatory change management — maps global regulation to compliance obligations for financial institutions.
14,Scrut Automation,75,40,15,20,0,Y,compliance; risk; governance,"GRC and security-compliance automation platform: continuous control monitoring, risk assessment and compliance frameworks (SOC 2, ISO 27001, GDPR)."
15,Sprinto,70,40,10,20,0,Y,compliance; risk,"Security-compliance automation for cloud companies: automates SOC 2, ISO 27001, GDPR, HIPAA controls, evidence and risk monitoring."
16,Avetta,68,26,22,20,0,Y,third_party_risk; supply_chain_risk; compliance; ehs; risk,"Supply-chain / contractor risk and compliance: supplier prequalification, third-party risk, safety (EHS) and sustainability compliance management."
17,Bridewell,66,40,15,11,0,Y,compliance; risk; governance,"Cyber security and privacy consultancy with a dedicated governance, risk and compliance practice: security risk, ISO 27001 / NIS / GDPR compliance, data privacy."
18,Alcumus,64,26,18,20,0,Y,ehs; third_party_risk; compliance; risk,"Health & safety and supplier/contractor compliance: SafeContractor accreditation, EHS risk management and third-party assurance."
19,Riskmethods,60,26,14,20,0,,supply_chain_risk; risk; third_party_risk,"Supply-chain risk management (now part of Sphera): supplier risk identification, monitoring and mitigation across the supply network."
20,Evotix,59,26,13,20,0,,ehs; risk; compliance,"EHS / workplace safety management software: incident, risk assessment and safety compliance."
21,VelocityEHS,59,26,13,20,0,,ehs; compliance; risk,"Environment, health & safety (EHS) and ESG software: safety, chemical/regulatory compliance, industrial ergonomics and risk."
22,Veriforce,59,26,13,20,0,,ehs; third_party_risk; compliance,"Contractor and supply-chain safety compliance and verification: worker qualification, EHS compliance and third-party risk for industrial operators."
23,Tracegains,57,26,11,20,0,,compliance; quality; supply_chain_risk,"Supplier compliance and quality management for food, beverage and CPG: supplier documents, regulatory/quality compliance and supply-chain risk."
24,Brycer,56,26,10,20,0,,compliance; regulatory,Compliance management for fire and life-safety inspections (The Compliance Engine): regulatory inspection tracking for jurisdictions.
25,Resilinc,56,26,13,17,0,,supply_chain_risk; resilience; risk,"Supply-chain resilience and risk monitoring: multi-tier supplier mapping, disruption sensing and risk scoring."
26,Rasi,50,26,10,14,0,,compliance; regulatory,"RASI: alcohol regulatory and licensing compliance for hospitality/retail — license management, tax and regulatory compliance automation."
27,Blume,9,0,4,5,0,,supply_chain_risk,"Blume Global: supply-chain visibility, logistics execution and orchestration. Logistics/supply-chain operations, not a risk/compliance product."
