name,in_scope,subsector,confidence,rationale
Candela,NO,Other,High,"Swedish maker of electric hydrofoil boats and ferries; not financial"
Ampla,NO,Lending,High,"Embedded banking and growth-capital lending for consumer brands"
Truework,NO,Other,High,"Income and employment verification for lenders; not financial-crime IDV"
Froda,NO,Lending,High,"Swedish embedded SME lending and credit institution"
Pledge Path Systems,NO,Lending,Medium,"Private credit facility modeling and surveillance software; not financial crime"
Crux,NO,Other,High,"Clean energy tax credit transfer and capital markets platform"
Toku,NO,Payroll,High,"Global crypto and stablecoin payroll and HR compliance"
1Fort,NO,InsurTech,High,"AI insurance broking automation platform"
Worldpay,NO,Payments,High,"Large global payment processor"
Global Payments (issuer solutions unit),NO,Payments,High,"Card issuer processing unit of a payments company"
Ascent Fund Services,NO,Fund Admin,High,"Global fund administration services provider"
Luma Financial Technologies,NO,Trading/Capital Markets,High,"Structured products and annuities platform for advisors"
Mesh,NO,Payments,High,"Global crypto payments and connectivity network"
Belvo,NO,Banking,Medium,"Open finance and banking data API for Latin America"
hi.health,NO,InsurTech,High,"Austrian insurtech for health insurance reimbursement and payments"
Chapter,NO,Other,High,"Medicare and retirement healthcare navigation platform"
AMAL Group,NO,Fund Admin,High,"Corporate trustee and fund administration services in ANZ"
MG Stover (fund admin business),NO,Fund Admin,High,"Fund administration business for alternative assets"
Glean.ai,NO,Accounting/Tax,High,"AI accounts payable and spend intelligence software"
Giftcloud,NO,Payments,High,"Digital gift card and B2B rewards platform"
