Sector,Deal Type,Claimed Date,Verified Date,Date Status,Target,Acquirer / Lead Investor,Country,EV / Amount,In-Scope & Notes,Source
Asset & Wealth Tech,Strategic M&A,2026-06-03,2026-06-03,OK,Affinity Advisory Network / AAN Wealth Advisors,Nu Ride Inc.,United States,~$9.6M,"Borderline: insurance distribution + RIA advisory network (services, not pure tech). Acquirer was missing in source data.",https://www.investing.com/news/company-news/nu-ride-to-acquire-affinity-advisory-for-96-million-93CH-4724416
Banking & Lending Tech,Strategic M&A,2026-06-05,2026-06-05,OK,Interfi (Interfi Systems),Perpetual,Australia,70% stake,"Yes — loan-servicing technology, ~A$55bn AUA.",https://www.financialstandard.com.au/news/perpetual-acquires-majority-stake-in-interfi-179812809
Banking & Lending Tech,Strategic M&A,2026-06-04,2026-06-03,OFF -1d,Finastra US Mid-Market Banking business,CORA Group (Jonas Software / Constellation),United States,undisclosed,Yes — core/digital banking software (Phoenix/Malauzai).,https://www.globenewswire.com/news-release/2026/06/03/3306031/0/en/cora-group-acquires-finastra-s-phoenix-core-system-malauzai-digital-banking-and-fusion-analytics-businesses.html
Banking & Lending Tech,Strategic M&A,2026-06-03,2026-03-31,WRONG (~9-10 wks),Sumac Microfinance Bank,Moniepoint,Kenya,78% stake,"DATE WRONG — announced/completed late MARCH 2026, not June. Target is a traditional microfinance bank (borderline-tech).",https://www.businesswire.com/news/home/20260331855947/en/Moniepoint-Inc.-Enters-Kenyan-Market-With-Acquisition-of-Sumac-Microfinance-Bank
Banking & Lending Tech,Capital Raise,2026-05-28,2026-05-27,OFF -1d,Capchase,01 Advisors (lead),United States,$26M equity + $174M credit,Yes — B2B financing / lendtech.,https://news.crunchbase.com/venture/fintech-capchase-b2b-bnpl-200m-debt-equity/
Banking & Lending Tech,Capital Raise,2026-06-04,2026-06-04,OK (±1),WeRize,Sony Innovation Fund (lead),India,$7M pre-Series C,Yes — rural credit/insurance/investing platform.,https://inc42.com/buzz/fintech-startup-werize-raises-7-mn-to-expand-product-offerings/
Capital Markets Tech,Capital Raise,2026-06-04,2026-06-04,OK,Cense,G+D Ventures & Rabo Investments (co-lead),Netherlands,€6.5M seed,"Borderline sector: digital-asset compliance / regtech (closer to Financial Info / RegTech than Capital Markets).",https://fintech.global/2026/06/04/cense-raises-e6-5m-seed-round-for-digital-asset-compliance/
Capital Markets Tech,Strategic M&A,2026-05-26,2026-05-26,OK,Funded Trading Plus,Instant Funding,United Kingdom,undisclosed,Yes — proprietary trading firm.,https://windsordrake.com/market-intelligence/transactions/funded-trading-plus-instant-funding-2026
Corporate Financial Function,Capital Raise,2026-06-04,2026-06-04,OK,Ramp,"ICONIQ, GIC, Ontario Teachers' (lead)",United States,$750M Series F ($44B val.),Yes — spend management / financial operations.,https://www.prnewswire.com/news-releases/ramp-raises-series-f-at-44-billion-valuation-302791103.html
Corporate Financial Function,Strategic M&A,2026-06-05,2026-06-04,OFF -1d,Leapfin,Airwallex,United States,undisclosed,Yes — revenue recognition / accounting automation.,https://www.airwallex.com/global/newsroom/airwallex-acquires-leapfin-expanding-financial-lifecycle-capabilities
Corporate Financial Function,Capital Raise,2026-05-26,2026-05-21,OFF -5d,Pivot,"Forestay Capital & Notion Capital (lead)",France (NOT US),$40M Series B,"DATE off 5d AND COUNTRY WRONG — Pivot is Paris-based, not US. Yes — AI procurement/spend.",https://www.globenewswire.com/news-release/2026/05/21/3299278/0/en/Pivot-Raises-40-Million-Series-B-to-Replace-Legacy-Procurement-Software-with-an-Enterprise-AI-Operating-System.html
Corporate Financial Function,Capital Raise,2026-05-29,2026-05-22,OFF -7d,Harmoney,Smile Sail,Belgium,€10M minority,"Sector borderline: KYC/AML/counterparty-risk orchestration (regtech). Ghent-based.",https://fintech.global/2026/05/26/harmoney-eyes-european-growth-with-e10m-investment/
Financial Info & Analytics,Capital Raise,2026-06-04,2026-06-03,OFF -1d,AlphaSense,"Vitruvian, Accenture Ventures, JPM Asset Mgmt (lead)",United States,$350M ($7.5B val.),Yes — AI market intelligence / research.,https://www.globenewswire.com/news-release/2026/06/03/3305968/0/en/alphasense-raises-350m-at-7-5b-valuation-and-surpasses-600m-in-annual-recurring-revenue.html
Financial Info & Analytics,Strategic M&A,2026-06-05,2026-06-04,OFF -1d,PEER DATA,Lukka,United States,undisclosed,Yes — data provenance / DBOR for digital assets.,http://www.prnewswire.com/news-releases/lukka-acquires-peer-data-to-build-the-institutional-control-layer-for-digital-assets-and-data-commerce-302791630.html
Financial Info & Analytics,Capital Raise,2026-06-04,2026-06-04,OK,Aveni,PXN Ventures (lead),United Kingdom,£12M,Yes — AI compliance/assurance for financial services (Edinburgh).,https://fintech.global/2026/06/04/lloyds-and-nationwide-backed-aveni-raises-12m/
InsurTech,Capital Raise,2026-06-05,2026-06-04,OFF -1d,Honeycomb Insurance,Zeev Ventures (lead),United States,$40M,Yes — AI underwriting for commercial property/real-estate insurance.,https://fortune.com/2026/06/04/honeycomb-insurance-ai-apartments-40-million/
InsurTech,Capital Raise,2026-06-01,2026-05-28,OFF -4d,Corgi,TCV (lead),United States,$106M Series B1 ($2.6B val.),"DATE off — announced 28 May (B1, 3 wks after the 6 May $160M Series B).",https://techcrunch.com/2026/05/28/corgi-announces-106m-raise-at-2-6b-valuation-three-weeks-after-160m-series-b/
InsurTech,Strategic M&A,2026-06-01,2026-06-01,OK,Aggne (Aggne Global),Wipro,United States,$28.5M (20% stake -> 80%),"Yes — P&C insurance tech/services. Stake increase, not full buyout.",https://www.business-standard.com/amp/companies/news/wipro-raises-stake-in-insurance-tech-firm-aggne-to-80-for-28-5-million-126060102064_1.html
Payments,Strategic M&A,2026-03-30,2026-03-30,OK,KUBRA (Kubra Data Transfer),REPAY,Canada (listed US),$372M,"Announcement date correct (closed 1 Jun). KUBRA is Mississauga/Canada-based — country flag.",https://investors.repay.com/news-releases/news-release-details/repay-announces-agreement-acquire-kubra
Payments,Strategic M&A,2026-06-06,2026-06-02,OFF -4d,Fee Navigator,NMI,United States,undisclosed,Yes — AI merchant pricing intelligence.,https://www.businesswire.com/news/home/20260602447713/en/NMI-Acquires-Fee-Navigator-Adding-AI-Powered-Pricing-Intelligence-to-Its-Embedded-Payments-Platform
Payments,Strategic M&A,2026-06-02,2026-06-01,OFF -1d,OpenPayd,Titan Acquisition Corp (SPAC),United Kingdom,$1.1B (de-SPAC),"DEAL TYPE mislabeled — this is a SPAC merger / Nasdaq listing, not a strategic acquisition.",https://www.globenewswire.com/news-release/2026/06/01/3304275/0/en/OpenPayd-Targets-Nasdaq-Listing-at-Unicorn-Valuation.html
Payments,Strategic M&A,2026-06-02,2026-06-01 (close),COMPLETION (announced 2025),WonderFi,Robinhood,Canada,~C$250M,"NOT a June announcement — deal announced May 2025; June 1 = CLOSE, June 2 = TSX delisting. Target is a crypto exchange (Bitbuy/Coinsquare) — closer to Capital Markets/Crypto than Payments.",https://www.newsfilecorp.com/release/299681/Robinhood-Completes-Acquisition-of-WonderFi
Payments,Strategic M&A,2026-06-04,2026-06-02,OFF -2d,Absolute Payment Solutions,XFolio AI,United Kingdom,undisclosed,Yes — Bacs/payments + treasury (acquirer XFolio AI is Paris-based).,https://www.fintechfutures.com/m-a/xfolio-ai-acquires-absolute-payments-solutions
Real Estate & Mortgage Tech,Strategic M&A,2026-05-25,2026-05-20,OFF -5d,Accepted Financial Corp,Shelter Lending Corporation,Canada,undisclosed,"Borderline: alternative mortgage lender/broker (services, not pure tech).",https://www.cantechletter.com/newswires/shelter-lending-corporation-announces-acquisition-of-accepted-financial-corp-accelerating-national-growth-strategy/
