deal_id,acquirer,target,announced,verdict,ev_multiple,revenue_multiple,implied_multiple,deal_value_usd_m,notes
apex-coda,Apex Fintech Solutions,"PDQ Enterprises (parent company of CODA Markets, Inc.)",2022-01,not_available,,,,,"Hint confirmed: 'Coda' resolved to CODA Markets (auction-based ATS / smart order router); the transaction was structured as an acquisition of its parent, PDQ Enterprises. Announced January 6, 2022. No source found stating deal value or target financials."
porch-floify,"Porch Group, Inc. (NASDAQ: PRCH)",Floify LLC,2021-10,calculable,,,~5.8x price / 2022E revenue,86.5,"Acquirer confirmed as Porch Group (PRCH). Conflicting totals: press release states $86.5M closing consideration while HousingWire reported ~$90M; the gap (possibly working-capital/holdback or the stock-guarantee valuation) was not resolved within search budget. No multiple was published; the ~5.8x is implied from the company's own announcement figures. GlobeNewswire/SEC pages could not be fetched full-text (proxy 403), figures taken from search-result excerpts of the press release."
clearlake-sharpspring,"Constant Contact, Inc. (backed by Clearlake Capital Group and Siris Capital Group)","SharpSpring, Inc. (NASDAQ: SHSP)",2021-06,calculable,,,~8.2x EV / FY2020 revenue,240,"Party naming verified: acquirer is Constant Contact (Clearlake- and Siris-backed), not Clearlake directly. Public target, so financials are on file: FY2020 revenue $29.3M is firm. No EV or revenue multiple was stated in the press release, SEC filings, or tier-1 coverage found; only analyst commentary (~7x FY2022E revenue) referenced a multiple, which is not counted as published."
stewart-cloudvirga,Stewart Information Services Corporation (NYSE: STC),"Cloudvirga, Inc.",2021-05,not_available,,,,,"Typo resolved: 'CloudVerga' is Cloudvirga (digital mortgage point-of-sale platform). Announced May 25, 2021. Trade press (HousingWire, National Mortgage News) confirms price was not disclosed; no public target financials found, so no multiple is published or calculable."
inflexion-infront,Inflexion Private Equity Partners LLP (via Inflexion Buyout Fund V),Infront ASA (Oslo Bors: INFRO),2020-12,partially_calculable,,,~1.4x equity value / annualized revenue (run-rate; not EV),199,"Entity verified: Infront ASA, the Oslo-listed Nordic/European financial market data and terminal provider (not Infront Sports & Media). Offer recommended December 2020, price raised to NOK 40/share March 2021, completed June 2021 with founders Kristian Nesbak and Morten Lindeman reinvesting. No EV or revenue multiple found published in offer coverage. Attempted fetch of the Q4 2020 interim report PDF for FY2020 totals was blocked (proxy 403), leaving the full-year metric unverified - hence partially_calculable and the run-rate basis."
oakley-glas,"Oakley Capital (Fund VI), with La Caisse (formerly CDPQ) as minority co-investor",GLAS (Global Loan Agency Services),2026-01,partially_calculable,,"~12.4x (EV / LTM revenue, per Mergersight analysis (student-run M&A review, not a tier-1/trade source; see notes))",~9-12x EV / LTM revenue (own arithmetic ~9.2x; Mergersight states ~12.4x),1340,"GLAS confirmed as Global Loan Agency Services (loan administration and bond trustee services), founded 2011 by Mia Drennan and Brian Carne; announced Jan 5, 2026. A revenue multiple (~12.4x LTM EV/Revenue) was published only by Mergersight, a student-run analysis site - not a credible tier per verdict rules, so the verdict is partially_calculable rather than published. Mergersight's stated multiple and its stated GBP 115M LTM revenue are mutually inconsistent against the $1.34bn EV; the page could not be fetched full-text (proxy 403) to resolve which figure is misquoted. Beware the Investing.com headline 'up to GBP 55 million' - that is OCI's fund-level contribution, not the transaction value."
oceansound-afs,OceanSound Partners,"Automated Financial Systems, Inc. (AFS)",2026-02,not_available,,,,,"Hint verified: target is Automated Financial Systems, Inc. (AFS), Exton, PA - commercial loan servicing / lending lifecycle software (AFSVision), founded 1970. Announced February 19, 2026; Edward Jenkins installed as CEO. No deal value, no target financials, no multiple published or calculable."
centerbridge-meridianlink,Centerbridge Partners,"MeridianLink, Inc. (NYSE: MLNK)",2025-08,calculable,,,~6.3x EV/Revenue (FY2024); ~15.3x EV/Adj. EBITDA (FY2024),2000,"Hint re co-party 'Bridgeport': no entity named Bridgeport appears in any deal coverage; the disclosed minority co-investor is Silversmith Capital Partners - 'Bridgeport' in the source list appears to be an error. A Medium blog post claims a '10x 2025 EBITDA' entry multiple, but that is arithmetically inconsistent ($2.0B EV / $132-138M 2025 EBITDA guidance = ~14.5-15.2x) and Medium is not a credible source, so ev_multiple is treated as not published."
ta-solifi,TA Associates,Solifi (formerly IDS - International Decision Systems),2024-10,not_available,,,,,"Entities verified as hinted: Solifi is the secured-finance / asset-finance software provider (equipment, automotive, wholesale, working capital), dual HQ Minneapolis/Milton Keynes, formerly IDS, Thoma Bravo-backed since 2019. Announced Oct 9, 2024 (not 2025). Searched for any reported valuation (incl. Reuters-style scoops) - none found within budget; no target financials public."
axway-sopra-banking,Axway Software SA,"Sopra Banking Software (SBS) - most activities, carved out of Sopra Steria",2024-02,calculable,,,~0.97x EV/Revenue (FY2023),357,"Parties as hinted: Axway (Euronext-listed, itself Sopra-affiliated) acquiring most of Sopra Banking Software from Sopra Steria - both French listed, terms published in EUR. No explicit multiple stated in coverage found, but EV and perimeter revenue were both published, so ~1x revenue is directly computable. Announced date used is the Feb 2024 exclusive-discussions announcement (terms already public then)."
