Sector,Target Country,Deal Type,Date,Target,Acquirer,EV ($M),EV / Revenue,EV / EBITDA,Target Description,Link / Press Release
Asset & Wealth Tech,United States,Strategic M&A,2026-06-03,Affinity Advisory Network / AAN Wealth Advisors,Nu Ride Inc.,9.6,,,A US insurance-distribution and registered-investment-advisory network.,https://www.investing.com/news/company-news/nu-ride-to-acquire-affinity-advisory-for-96-million-93CH-4724416
Banking & Lending Tech,Australia,Strategic M&A,2026-06-05,Interfi (Interfi Systems),Perpetual,,,,An Australian loan-servicing technology provider for non-bank lenders.,https://www.financialstandard.com.au/news/perpetual-acquires-majority-stake-in-interfi-179812809
Banking & Lending Tech,United States,Strategic M&A,2026-06-03,Finastra US Mid-Market Banking business,CORA Group (Jonas Software / Constellation),,,,"Finastra's US core and digital banking software unit (Phoenix, Malauzai).",https://www.globenewswire.com/news-release/2026/06/03/3306031/0/en/cora-group-acquires-finastra-s-phoenix-core-system-malauzai-digital-banking-and-fusion-analytics-businesses.html
Capital Markets Tech,United Kingdom,Strategic M&A,2026-05-26,Funded Trading Plus,Instant Funding,,,,A UK proprietary trading firm offering funded-trader evaluation accounts.,https://windsordrake.com/market-intelligence/transactions/funded-trading-plus-instant-funding-2026
Corporate Financial Function,United States,Strategic M&A,2026-06-04,Leapfin,Airwallex,,,,A US revenue-recognition and accounting-automation software provider.,https://www.airwallex.com/global/newsroom/airwallex-acquires-leapfin-expanding-financial-lifecycle-capabilities
Financial Info & Analytics,United States,Strategic M&A,2026-06-04,PEER DATA,Lukka,,,,A provider of data-provenance and compliance infrastructure for digital assets.,http://www.prnewswire.com/news-releases/lukka-acquires-peer-data-to-build-the-institutional-control-layer-for-digital-assets-and-data-commerce-302791630.html
InsurTech,United States,Strategic M&A,2026-06-01,Aggne (Aggne Global),Wipro,28.5,,,A US property-and-casualty insurance technology and consulting firm.,https://www.business-standard.com/amp/companies/news/wipro-raises-stake-in-insurance-tech-firm-aggne-to-80-for-28-5-million-126060102064_1.html
Payments,Canada,Strategic M&A,2026-03-30,KUBRA (Kubra Data Transfer),REPAY,372,,,A Canadian billing and customer-payments technology provider for utilities and government.,https://investors.repay.com/news-releases/news-release-details/repay-announces-agreement-acquire-kubra
Payments,United States,Strategic M&A,2026-06-02,Fee Navigator,NMI,,,,A US AI merchant-pricing intelligence provider for payments.,https://www.businesswire.com/news/home/20260602447713/en/NMI-Acquires-Fee-Navigator-Adding-AI-Powered-Pricing-Intelligence-to-Its-Embedded-Payments-Platform
Payments,United Kingdom,SPAC merger (de-SPAC),2026-06-01,OpenPayd,Titan Acquisition Corp (SPAC),1100,,,A UK embedded-finance and payments-orchestration platform.,https://www.globenewswire.com/news-release/2026/06/01/3304275/0/en/OpenPayd-Targets-Nasdaq-Listing-at-Unicorn-Valuation.html
Payments,Canada,Strategic M&A,2026-06-01,WonderFi,Robinhood,182,,,A Canadian operator of regulated crypto exchanges (Bitbuy and Coinsquare).,https://www.newsfilecorp.com/release/299681/Robinhood-Completes-Acquisition-of-WonderFi
Payments,United Kingdom,Strategic M&A,2026-06-02,Absolute Payment Solutions,XFolio AI,,,,A UK Pay.UK-accredited Bacs payments service provider.,https://www.fintechfutures.com/m-a/xfolio-ai-acquires-absolute-payments-solutions
Real Estate & Mortgage Tech,Canada,Strategic M&A,2026-05-20,Accepted Financial Corp,Shelter Lending Corporation,,,,A Western-Canada alternative mortgage lender and brokerage.,https://www.cantechletter.com/newswires/shelter-lending-corporation-announces-acquisition-of-accepted-financial-corp-accelerating-national-growth-strategy/
