name,in_scope,subsector,confidence,rationale
Thriday,NO,Accounting/Tax,High,"Automated banking and accounting/bookkeeping for SMBs"
GoCardless,NO,Payments,High,"Bank-debit and account-to-account payments processor"
kACE Financial,NO,Trading/Capital Markets,High,"FX options pricing and electronic trading platform; a Fenics brand"
PropertyMe,NO,PropTech,High,"Cloud property management software for real estate agents"
Playter,NO,Lending,High,"B2B buy-now-pay-later spend financing"
Neighbourlytics,NO,PropTech,High,"Location/social analytics for property and place managers"
FarPay,NO,Payments,High,"Invoicing and accounts-receivable payment automation"
Shine,NO,Banking,High,"French neobank for freelancers and small businesses"
FirstList,NO,PropTech,High,"Pre-market real estate listing platform for brokerages"
Finscape,NO,WealthTech,High,"Investment-distribution business intelligence for asset managers"
W3C,NO,Other,High,"World Wide Web Consortium; web standards body"
PostCredit,NO,Payments,High,"Production expense management; P-cards and receipt reconciliation"
Compuflex,NO,Banking,High,"Cash automation and currency-tracking middleware for banks/retail"
Planky,MAYBE,KYC/KYB,Low,"Open-banking AI analytics and behavioural scoring; not financial-crime specific"
Green Dot Corp.,NO,Banking,High,"Prepaid cards and banking-as-a-service platform"
Vitech,NO,InsurTech,High,"Insurance retirement and investment admin software"
Connect&Go,NO,Payments,High,"RFID wristband ticketing and cashless payments for attractions"
Mortgage Intelligence,NO,Lending,High,"Mortgage broker network and advisory"
Curve,NO,Payments,High,"Card-aggregation wallet app consolidating multiple cards"
Pipedream,NO,Other,High,"Workflow automation/integration developer platform"
