company,aka,primary_domain,verdict,matched_categories,evidence,rationale
Dynamo,Dynamo Software,CRM / deal & investor management software for alternatives,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Clearwater,Clearwater Analytics,"Investment accounting, reporting & analytics (SaaS)",ADJACENT,compliance,compliance: compliance; compliance: regulatory,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Preqin,Preqin,Alternative assets data & intelligence,ADJACENT,compliance; aml; kyc,compliance: compliance; aml: aml; kyc: kyc,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Holistiplan,Holistiplan,Tax planning software for advisors,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
With Intelligence,With Intelligence (formerly Pageant Media),"Asset management data, media & events",ADJACENT,compliance,compliance: compliance,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Colmore,Colmore (a Preqin company),Private markets portfolio monitoring & fee analytics,ADJACENT,compliance,compliance: compliance,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Investment Metrics,Investment Metrics (Confluence),"Investment analytics, performance & reporting",NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Itiviti,Itiviti (Broadridge),Trading technology & connectivity (OMS/FIX),ADJACENT,compliance; aml,compliance: compliance; aml: aml,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
HeyWood,Heywood (Heywood Pension Technologies),Pensions administration software,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
VettaFi,VettaFi,"Index, ETF data & digital distribution",ADJACENT,compliance,compliance: compliance,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
OneZero,oneZero Financial Systems,FX / multi-asset trading technology,ADJACENT,aml; kyc,aml: aml; kyc: kyc,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
DocuPace,Docupace,Document & workflow automation for wealth management,ADJACENT,compliance; aml,compliance: compliance; aml: aml,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Aixigo,aixigo,Wealth management platform / APIs,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Rimes,RIMES Technologies,Managed data services + RegTech surveillance,FIT,compliance,compliance: compliance; compliance: mar; compliance: market abuse; compliance: market surveillance; compliance: surveillance; compliance: regtech,"GRC is the core offering (core/RegTech/surveillance/governance signal present, no demotion)."
Enfusion,Enfusion,Investment management SaaS (OEMS/PMS/accounting),ADJACENT,compliance; aml; kyc,compliance: compliance; aml: aml; kyc: kyc,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Voyant,Voyant (AdviceTech),Financial planning software,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
SimCorp,SimCorp Dimension,Investment management platform (IBOR),ADJACENT,compliance; aml; kyc,compliance: compliance; aml: aml; kyc: kyc,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
WebFG,WebFG / Web Financial Group,"Financial data, charting & front-office tools",ADJACENT,compliance,compliance: compliance,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Virtus Partners,Virtus Partners (Alter Domus),Credit / CLO loan administration,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
MG Stover,MG Stover (a Vistra company),Fund administration,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
SALI,SALI Fund Services,Insurance-dedicated fund administration,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Lightkeeper,Lightkeeper,Portfolio analytics & investment data,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
