Company,Compliance,AML,KYC,Fraud,Confidence,Group,Description
KYC360,Yes,Yes,Yes,No,high,Financial-crime,"Pure-play AML/KYC screening (sanctions/PEP/adverse-media); formerly RiskScreen, now Experian"
WorkFusion,Yes,Yes,Yes,No,high,Financial-crime,"AI agents for AML/sanctions screening and KYC; used by 10 of top 20 banks (now UiPath)"
RiskFront AI,Yes,Yes,Yes,Yes,high,Financial-crime,"Agentic-AI OS (Airos) for financial-crime/compliance ops; acquired by K2 Integrity"
Credas Technologies,Yes,Yes,Yes,Yes,high,Financial-crime,"Identity verification / KYB / source-of-funds / PEP screening; acquired by SmartSearch"
Passthrough,Yes,Yes,Yes,No,high,Financial-crime,"Investor KYC/AML screening and financial-crime compliance for private capital (iCapital)"
Avantia,Yes,Yes,Yes,No,high,Financial-crime,"AML/KYC/KYB and fund regulatory compliance for asset managers (rebranded Carta Law)"
Cable,Yes,Yes,No,No,high,Financial-crime,"Automated BSA/AML control testing and assurance for banks and fintechs"
SteelEye,Yes,Yes,No,No,high,Financial-crime,"Trade and comms surveillance, market-abuse detection, regulatory reporting"
Eventus,Yes,Yes,No,Yes,high,Financial-crime,"Validus trade surveillance plus AML transaction monitoring"
AtData,No,No,Yes,Yes,high,Financial-crime,"Email identity intelligence for fraud prevention; acquired by Experian"
OrboGraph,No,No,No,Yes,high,Financial-crime,"Check-fraud detection for banks and credit unions"
Kompliant,Yes,No,Yes,No,high,Financial-crime,"Compliance orchestration / merchant onboarding (KYB) for payments and banks"
NetVendor,Yes,No,Yes,No,high,Financial-crime,"Vendor credentialing with OFAC sanctions screening (real estate)"
Droit,Yes,No,No,No,high,Broader compliance/GRC,"Pre/post-trade regulatory compliance and transaction reporting (MiFID II, Dodd-Frank)"
TradingHub,Yes,No,No,No,high,Broader compliance/GRC,"MAST market-abuse / trade surveillance"
Trailight,Yes,No,No,No,high,Broader compliance/GRC,"Individual accountability / conduct compliance (SMCR); now part of Comply"
InvestEdge,Yes,No,No,No,high,Broader compliance/GRC,"ComplianceEdge trade-surveillance for trust/wealth"
StandardFusion,Yes,No,No,No,high,Broader compliance/GRC,"GRC platform (ISO 27001, SOC 2, GDPR, HIPAA)"
AuditComply,Yes,No,No,No,high,Broader compliance/GRC,"Audit/risk/compliance GRC for manufacturing EHS/quality (not financial)"
TrustArc,Yes,No,No,No,high,Broader compliance/GRC,"Data-privacy / GDPR-CCPA compliance management"
FairNow,Yes,No,No,No,high,Broader compliance/GRC,"AI governance and compliance (EU AI Act, ISO 42001)"
Mosey,Yes,No,No,No,high,Broader compliance/GRC,"Multi-state business/payroll/HR regulatory compliance"
Pine Advisor Solutions,Yes,No,No,No,medium,Broader compliance/GRC,"Outsourced fund CCO / compliance services"
